,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
727,305,"['후춧가루', '파', '모시조개', '아욱', '쌀', '된장', '마늘', '멸치']","['조미료류', '어패류 및 기타 수산물', '채소류', '곡류 및 그 제품']","['파', '조개', '아욱', '된장', '마늘', '멸치', '후추', '멥쌀']"
728,6835881,"['코코넛밀크분말', '고추', '파', '달걀', '우유', '파프리카', '당근생략가능', '튀김가루', '새우혹은게', '양송이버섯', '후추조금', '옐로우커리페이스트', '소금', '마늘', '양파']","['조미료류', '난류', '버섯류', '곡류 및 그 제품', '견과류 및 종실류', '어패류 및 기타 수산물', '우유 및 유제품류', '채소류']","['고추', '파', '달걀', '우유', '파프리카', '카레', '코코넛', '양송이버섯', '밀', '새우', '소금', '당근', '마늘', '양파', '후추']"
729,4302770,"['천일염', '생물오징어', '참기름약간', '올리고당', '청주', '통깨약간', '생강즙', '마늘', '고춧가루']","['조미료류', '당류', '주류', '유지류', '견과류 및 종실류', '어패류 및 기타 수산물', '채소류']","['참깨', '생강', '물엿', '참기름', '청주', '오징어', '소금', '마늘', '고춧가루']"
730,6526433,"['고추', '파', '간장', '주키니호박', '감자', '느타리버섯', '다시마', '된장', '칼국수면', '마늘', '양파', '멸치']","['조미료류', '해조류', '감자 및 전분류', '버섯류', '곡류 및 그 제품', '어패류 및 기타 수산물', '채소류']","['고추', '파', '호박', '간장', '감자', '느타리버섯', '다시마', '된장', '칼국수', '마늘', '양파', '멸치']"
731,4362138,"['고추', '청경채', '마른표고버섯', '치킨스톡', '오징어', '면', '굴소스', '마늘', '굴']","['조미료류', '버섯류', '곡류 및 그 제품', '어패류 및 기타 수산물', '채소류', '육류']","['고추', '청경채', '표고버섯', '굴 소스', '오징어', '국수', '닭고기', '마늘', '굴']"
732,1434375,"['통깨', '양파', '액젓', '잔파', '소금', '마늘', '고춧가루', '무']","['조미료류', '어패류 및 기타 수산물', '채소류', '견과류 및 종실류']","['참깨', '파', '양파', '까나리젓', '소금', '마늘', '고춧가루', '무']"
733,6848195,"['맛술', '붕어', '고추', '매실청', '파', '양파', '생강', '간장', '버섯표고나팽이', '된장', '시래기없으면묵은지', '마늘', '고춧가루', '무']","['조미료류', '과실류', '버섯류', '어패류 및 기타 수산물', '채소류']","['맛술', '붕어', '고추', '매실청', '파', '양파', '생강', '간장', '표고버섯', '된장', '마늘', '고춧가루', '무시래기', '무']"
734,6835308,"['우유', '라면', '라면스프', '마늘', '치즈']","['조미료류', '조리가공품류', '우유 및 유제품류', '채소류']","['라면 스프', '우유', '라면', '마늘', '치즈']"
735,415,"['육수', '토마토케찹', '파', '간장', '생강', '고등어', '설탕', '피망', '마늘', '양파']","['조미료류', '당류', '어패류 및 기타 수산물', '채소류', '육류']","['파', '간장', '생강', '고등어', '설탕', '피망', '토마토 소스', '소고기', '마늘', '양파']"
736,1819146,"['은행', '왕대추', '재래된장', '오리', '인삼', '소금', '마늘']","['조미료류', '기타', '견과류 및 종실류', '과실류', '채소류', '육류']","['은행', '오리고기', '대추', '인삼', '된장', '소금', '마늘']"
737,1515384,"['밀가루', '생강편', '설탕', '배', '까나리액젓', '밀가루풀', '소금', '마늘', '고춧가루', '얼갈이배추대']","['조미료류', '당류', '과실류', '곡류 및 그 제품', '어패류 및 기타 수산물', '채소류']","['생강', '설탕', '배', '까나리젓', '얼갈이배추', '밀', '소금', '마늘', '고춧가루']"
738,3153237,"['콩가루', '시래기무', '청양고춧가루', '파', '간장', '배추', '쇠고기다시다조미료', '소주', '등뼈', '소금', '마늘', '고춧가루', '들깨가루']","['조미료류', '주류', '견과류 및 종실류', '두류', '채소류', '육류']","['콩', '파', '들깨', '간장', '배추', '소주', '소금', '소고기', '마늘', '고춧가루', '무시래기']"
739,2345147,"['파', '새우젓', '마늘', '고춧가루', '찌개용부드러운두부', '마른새우약간']","['조미료류', '어패류 및 기타 수산물', '채소류', '두류']","['파', '새우젓', '두부', '새우', '마늘', '고춧가루']"
740,447,"['고추', '생강', '배', '소금', '마늘', '양파', '붉은갓', '무']","['조미료류', '과실류', '채소류']","['고추', '생강', '배', '갓', '소금', '마늘', '양파', '무']"
741,256,"['맛술', '고추', '파', '간장', '식초', '생강', '설탕', '식용유', '토마토케첩', '굴소스', '마늘', '오이', '닭다리']","['조미료류', '당류', '유지류', '채소류', '육류']","['맛술', '고추', '혼합식물성유', '파', '간장', '식초', '생강', '설탕', '굴 소스', '토마토 소스', '닭고기', '마늘', '오이']"
742,335,"['버터', '파슬리가루', '마늘', '바게트']","['조미료류', '유지류', '채소류', '곡류 및 그 제품']","['버터', '마늘', '빵', '파슬리']"
743,6884787,"['조청물엿', '고추', '쇠고기', '식용유', '소금', '마늘', '후추']","['조미료류', '당류', '유지류', '채소류', '육류']","['고추', '혼합식물성유', '조청', '소금', '소고기', '마늘', '후추']"
744,1864664,"['고추', '쑥갓', '그립홍합', '팽이버섯', '오징어채약간', '새우', '소금', '꽃게', '마늘', '고춧가루', '무']","['조미료류', '어패류 및 기타 수산물', '채소류', '버섯류']","['고추', '쑥갓', '홍합', '게', '팽이버섯', '오징어', '새우', '소금', '마늘', '고춧가루', '무']"
745,1564781,"['고추', '파', '양파', '라면', '오징어', '새우', '고춧가루']","['조미료류', '어패류 및 기타 수산물', '조리가공품류', '채소류']","['고추', '파', '양파', '라면', '오징어', '새우', '고춧가루']"
746,6872974,"['고추', '간장', '생강', '물엿', '설탕', '장어', '후추조금', '후추적당량', '고춧가루', '생강가루']","['어패류 및 기타 수산물', '조미료류', '당류', '채소류']","['고추', '간장', '생강', '물엿', '설탕', '장어', '고춧가루', '후추']"
747,6860697,"['김치', '프랑크소시지', '대파적당량', '순두부', '멸치육수', '피자치즈적당량', '식용유', '스팸작은사이즈', '고춧가루']","['조미료류', '유지류', '두류', '어패류 및 기타 수산물', '우유 및 유제품류', '채소류', '육류']","['김치', '소시지', '햄', '혼합식물성유', '파', '치즈', '두부', '고춧가루', '멸치']"
748,6048742,"['파', '양파', '감자', '두부', '된장', '마늘', '고춧가루']","['조미료류', '채소류', '두류', '감자 및 전분류']","['파', '양파', '감자', '두부', '된장', '마늘', '고춧가루']"
749,6293305,"['미림이나청주', '간장', '물엿', '깻잎', '쌀', '숙주', '멸치액젓', '황태포', '마늘', '고춧가루']","['조미료류', '당류', '주류', '곡류 및 그 제품', '어패류 및 기타 수산물', '채소류']","['간장', '물엿', '명태', '들깻잎', '청주', '멸치젓', '마늘', '숙주나물', '고춧가루', '멥쌀']"
750,171,"['생강', '호두', '설탕', '곶감', '통계피', '잣']","['조미료류', '당류', '견과류 및 종실류', '과실류', '채소류']","['잣', '생강', '호두', '설탕', '곶감', '계피']"
751,6867213,"['밀가루', '달걀', '깻잎', '고구마', '단호박', '잣']","['난류', '감자 및 전분류', '견과류 및 종실류', '채소류', '곡류 및 그 제품']","['달걀', '호박', '들깻잎', '고구마', '밀', '잣']"
752,1622670,"['물엿', '설탕', '서리태', '간장']","['조미료류', '당류', '두류']","['물엿', '설탕', '콩기름', '간장']"
753,241,"['고추', '파', '간장', '물엿', '설탕', '가래떡', '피망', '비엔나소시지', '양파']","['조미료류', '당류', '곡류 및 그 제품', '채소류', '육류']","['소시지', '고추', '파', '간장', '물엿', '설탕', '피망', '멥쌀떡', '양파']"
754,830298,"['해바라기씨', '달걀', '박력분', '물엿', '설탕', '호두', '호박씨', '건포도', '베이킹파우더', '백앙금', '소금', '당절임밤', '검은깨']","['조미료류', '당류', '기타', '난류', '곡류 및 그 제품', '두류', '과실류', '견과류 및 종실류']","['참깨', '팽창제', '달걀', '해바라기씨', '물엿', '설탕', '호두', '밤', '포도', '호박씨', '강낭콩', '밀', '소금']"
755,844137,"['물엿', '설탕', '고구마', '식용유', '흑임자가루약간']","['당류', '유지류', '견과류 및 종실류', '감자 및 전분류']","['참깨', '혼합식물성유', '물엿', '설탕', '고구마']"
756,2820864,"['천일염', '매실청', '청오이', '간장', '설탕', '식초']","['조미료류', '당류', '과실류', '채소류']","['매실청', '간장', '설탕', '오이', '소금', '식초']"
757,6884747,"['후추톡톡', '간장', '닭날개', '소금', '꿀또는아가베시럽', '땅콩가루']","['조미료류', '당류', '견과류 및 종실류', '육류']","['땅콩', '간장', '꿀', '소금', '닭고기', '후추']"
758,1823140,"['황태머리', '메추리알', '간장', '설탕', '다시마', '대파흰부분', '새우', '월계수잎', '돼지고기', '마늘', '양파', '멸치']","['조미료류', '당류', '해조류', '난류', '어패류 및 기타 수산물', '채소류', '육류']","['메추리알', '월계수', '파', '간장', '설탕', '명태', '다시마', '새우', '돼지고기', '마늘', '양파', '멸치']"
759,6897466,"['고추', '매실청', '간장', '식용유약간', '고춧가루', '삼겹살']","['조미료류', '유지류', '과실류', '채소류', '육류']","['고추', '매실청', '혼합식물성유', '간장', '돼지고기', '고춧가루']"
760,1845698,"['맛술', '마요네즈', '고추', '간장', '요리당', '설탕', '쥐포', '소금']","['어패류 및 기타 수산물', '조미료류', '당류', '채소류']","['맛술', '마요네즈', '고추', '간장', '물엿', '설탕', '쥐치', '소금']"
761,2001919,"['고추', '간장', '설탕', '소금', '식초', '무']","['조미료류', '당류', '채소류']","['고추', '간장', '설탕', '소금', '식초', '무']"
762,494,"['파', '간장', '미소', '팽이버섯', '두부', '다시마']","['조미료류', '해조류', '버섯류', '두류', '채소류']","['파', '간장', '팽이버섯', '두부', '다시마', '된장']"
763,1755101,"['조청', '식물성오일', '간장', '땅콩']","['조미료류', '당류', '유지류', '견과류 및 종실류']","['조청', '혼합식물성유', '간장', '땅콩']"
764,6859078,"['고추', '포도씨유', '올리고당', '간장']","['조미료류', '당류', '유지류', '채소류']","['물엿', '고추', '포도씨유', '간장']"
765,6878615,"['간장', '빵가루', '레몬청', '올리고당', '토마토케챱', '알새우흰다리새우', '쌀', '옥수수통조림', '식용유카놀라유', '식초']","['조미료류', '당류', '과실류', '유지류', '곡류 및 그 제품', '어패류 및 기타 수산물']","['유채씨기름', '간장', '물엿', '밀', '새우', '옥수수', '토마토 소스', '레몬', '식초', '멥쌀']"
766,1794700,"['고추', '간장', '설탕', '청주', '오징어', '소금', '마늘']","['조미료류', '당류', '주류', '어패류 및 기타 수산물', '채소류']","['고추', '간장', '설탕', '청주', '오징어', '소금', '마늘']"
767,1798214,"['맛술', '후추약간', '방울토마토', '우스터소스', '간장', '파프리카', '닭가슴살', '호밀식빵', '오이피클적당량', '올리고당', '허브솔트', '슬라이스치즈', '포도씨유', '생강약간', '상추적당량']","['조미료류', '당류', '유지류', '곡류 및 그 제품', '우유 및 유제품류', '채소류', '육류']","['맛술', '치즈', '간장', '생강', '물엿', '파프리카', '상추', '빵', '토마토', '오이', '소금', '우스터 소스', '포도씨유', '닭고기', '후추']"
768,352,"['술', '파', '간장', '고등어', '설탕', '다시마국물', '된장', '무']","['조미료류', '당류', '해조류', '어패류 및 기타 수산물', '채소류']","['맛술', '파', '간장', '고등어', '설탕', '다시마', '된장', '무']"
769,4371767,"['초밥', '간장', '자숙문어', '락교', '초생강', '와사비']","['조미료류', '어패류 및 기타 수산물', '조리가공품류', '채소류']","['초밥', '생강', '간장', '고추냉이', '문어']"
770,748769,"['식초', '두부', '간장']","['조미료류', '두류']","['식초', '두부', '간장']"
771,6942031,"['고추', '청경채', '간장', '양송이편', '후추가루약간', '참기름조금', '스팸햄', '치킨스톡', '피망', '물전분', '굴소스']","['조미료류', '감자 및 전분류', '버섯류', '유지류', '채소류', '육류']","['고추', '청경채', '간장', '전분', '참기름', '굴 소스', '피망', '양송이버섯', '후추', '닭고기', '햄']"
772,986385,"['우스터소스', '간장', '파프리카', '시골돼지소세지', '설탕', '식용유약간', '피망', '소금', '굴소스', '마늘', '양파']","['조미료류', '당류', '유지류', '채소류', '육류']","['혼합식물성유', '간장', '파프리카', '설탕', '굴 소스', '피망', '소금', '돼지고기', '우스터 소스', '마늘', '양파']"
773,1935583,"['식초', '설탕', '마른미역', '다시마', '통깨약간', '소금', '오이']","['조미료류', '당류', '해조류', '견과류 및 종실류', '채소류']","['참깨', '식초', '설탕', '다시마', '미역', '소금', '오이']"
774,1956944,"['설탕', '매실', '매실과육']","['당류', '과실류']","['설탕', '매실']"
775,916444,"['전란', '박력분', '노른자', '설탕', '전분', '버터', '계피가루', '소금', '찬버터', '사과']","['조미료류', '당류', '난류', '감자 및 전분류', '유지류', '곡류 및 그 제품', '과실류', '우유 및 유제품류']","['달걀', '설탕', '전분', '버터', '밀', '소금', '계피', '사과']"
776,6851375,"['참기름약간', '설탕', '통깨약간', '식용유', '잔멸치', '올리고당or물엿', '매실', '마늘']","['당류', '과실류', '유지류', '견과류 및 종실류', '어패류 및 기타 수산물', '채소류']","['참깨', '혼합식물성유', '물엿', '설탕', '참기름', '매실', '마늘', '멸치']"
