,best_combination
757,"['넙치(광어)', '조개']"
758,"['넙치(광어)', '가다랑어']"
759,"['넙치(광어)', '맛술']"
760,"['넙치(광어)', '새우']"
761,"['넙치(광어)', '김']"
762,"['넙치(광어)', '들깻잎']"
763,"['넙치(광어)', '멸치젓']"
764,"['넙치(광어)', '연어']"
765,"['넙치(광어)', '고추냉이']"
766,"['넙치(광어)', '전복']"
767,"['넙치(광어)', '무순']"
768,"['넙치(광어)', '청어']"
769,"['넙치(광어)', '초밥']"
770,"['무순', '달걀']"
771,"['무순', '오징어']"
772,"['무순', '생강']"
773,"['무순', '조개']"
774,"['무순', '가다랑어']"
775,"['무순', '새우']"
776,"['무순', '김']"
777,"['무순', '연어']"
778,"['무순', '고추냉이']"
779,"['무순', '전복']"
780,"['무순', '넙치(광어)']"
781,"['무순', '청어']"
782,"['무순', '초밥']"
783,"['청어', '달걀']"
784,"['청어', '오징어']"
785,"['청어', '생강']"
786,"['청어', '조개']"
787,"['청어', '가다랑어']"
788,"['청어', '새우']"
789,"['청어', '김']"
790,"['청어', '연어']"
791,"['청어', '고추냉이']"
792,"['청어', '전복']"
793,"['청어', '넙치(광어)']"
794,"['청어', '무순']"
795,"['청어', '초밥']"
796,"['초밥', '달걀']"
797,"['초밥', '오징어']"
798,"['초밥', '생강']"
799,"['초밥', '조개']"
800,"['초밥', '가다랑어']"
801,"['초밥', '새우']"
802,"['초밥', '김']"
803,"['초밥', '연어']"
804,"['초밥', '고추냉이']"
805,"['초밥', '전복']"
806,"['초밥', '넙치(광어)']"
807,"['초밥', '무순']"
808,"['초밥', '청어']"
809,"['고추기름', '고추']"
810,"['고추기름', '소고기']"
811,"['고추기름', '마늘']"
812,"['고추기름', '파']"
813,"['고추기름', '표고버섯']"
814,"['오렌지', '설탕']"
815,"['과자', '설탕']"
816,"['과자', '달걀']"
817,"['과자', '전분']"
818,"['과자', '레몬']"
819,"['과자', '버터']"
820,"['과자', '치즈']"
821,"['과자', '크림']"
822,"['만두', '마늘']"
823,"['만두', '파']"
824,"['만두', '달걀']"
825,"['만두', '양파']"
826,"['만두', '식초']"
827,"['만두', '오이']"
828,"['만두', '겨자']"
829,"['만두', '꿀']"
830,"['만두', '토마토']"
831,"['만두', '양상추']"
832,"['만두', '마요네즈']"
833,"['만두', '올리브 피클']"
834,"['해삼', '파']"
835,"['해삼', '참기름']"
836,"['해삼', '혼합식물성유']"
837,"['해삼', '새우']"
838,"['해삼', '부추']"
839,"['연근', '간장']"
840,"['연근', '설탕']"
841,"['연근', '청주']"
842,"['연근', '참깨']"
843,"['고들빼기', '소금']"
844,"['고들빼기', '고추']"
845,"['고들빼기', '설탕']"
846,"['고들빼기', '마늘']"
847,"['고들빼기', '파']"
848,"['고들빼기', '고춧가루']"
849,"['고들빼기', '생강']"
850,"['고들빼기', '멸치젓']"
851,"['고들빼기', '갓']"
852,"['고들빼기', '대추']"
853,"['고들빼기', '밤']"
854,"['순대', '마늘']"
855,"['순대', '고춧가루']"
856,"['순대', '들깨']"
857,"['파래', '소금']"
858,"['파래', '간장']"
859,"['파래', '설탕']"
860,"['파래', '참기름']"
861,"['파래', '당근']"
862,"['파래', '식초']"
863,"['산초', '간장']"
864,"['산초', '설탕']"
865,"['산초', '청주']"
866,"['산초', '생강']"
867,"['산초', '멥쌀밥']"
868,"['산초', '장어']"
869,"['초콜릿', '설탕']"
870,"['초콜릿', '달걀']"
871,"['초콜릿', '전분']"
872,"['초콜릿', '버터']"
873,"['초콜릿', '크림']"
874,"['초콜릿', '아몬드']"
875,"['엿', '생강']"
876,"['오이지', '간장']"
877,"['오이지', '설탕']"
878,"['오이지', '마늘']"
879,"['오이지', '파']"
880,"['오이지', '참기름']"
881,"['오이지', '고춧가루']"
882,"['오이지', '참깨']"
883,"['삼치', '간장']"
884,"['삼치', '고추']"
885,"['삼치', '설탕']"
886,"['삼치', '마늘']"
887,"['삼치', '파']"
888,"['삼치', '달걀']"
889,"['삼치', '고춧가루']"
890,"['삼치', '생강']"
891,"['삼치', '맛술']"
892,"['애느타리버섯', '마늘']"
893,"['꼬막', '간장']"
894,"['꼬막', '마늘']"
895,"['꼬막', '파']"
896,"['꼬막', '참기름']"
897,"['꼬막', '고춧가루']"
898,"['스파게티 소스', '간장']"
899,"['스파게티 소스', '소고기']"
