,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
431,211,"['간장', '고추', '설탕', '청주', '계란', '생강즙', '참기름', '파', '닭', '다시물']","['당류', '조미료류', '육류', '해조류', '주류', '채소류', '난류', '유지류']","['닭고기', '간장', '고추', '설탕', '청주', '생강', '참기름', '파', '달걀', '다시마']"
432,226,"['광어', '참치', '청어알', '연어알', '생강', '피조개', '계란', '와사비', '무순', '전복', '초밥', '새우', '김', '갑오징어']","['어패류 및 기타 수산물', '조미료류', '해조류', '조리가공품류', '채소류', '난류']","['고추냉이', '오징어', '생강', '넙치(광어)', '전복', '무순', '달걀', '가다랑어', '연어', '청어', '초밥', '새우', '김', '조개']"
433,266,"['소금', '식초', '간장', '고추', '마늘', '계란', '밀가루', '굴', '파', '달래']","['곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '채소류', '난류']","['소금', '밀', '간장', '고추', '식초', '마늘', '굴', '파', '달래', '달걀']"
434,403,"['튀김기름', '케첩', '소금', '간장', '설탕', '소고기', '마늘', '후춧가루', '계란', '밀가루', '치자', '참기름', '피망', '양파']","['당류', '곡류 및 그 제품', '조미료류', '육류', '난류', '채소류', '유지류', '기타']","['치자꽃', '콩기름', '소금', '밀', '간장', '설탕', '소고기', '마늘', '토마토 소스', '참기름', '달걀', '후추', '피망', '양파']"
435,409,"['간장', '청주', '고추', '마늘', '튀김가루', '육수', '계란', '참기름', '파', '고춧기름', '표고버섯', '닭', '피망']","['곡류 및 그 제품', '조미료류', '버섯류', '육류', '주류', '채소류', '난류', '유지류']","['밀', '닭고기', '간장', '청주', '소고기', '고추', '마늘', '참기름', '파', '고추기름', '달걀', '표고버섯', '피망']"
436,487,"['소금', '고춧가루', '두부', '미더덕', '계란', '멸치', '바지락', '참기름', '잔새우', '다시마', '양파']","['어패류 및 기타 수산물', '조미료류', '해조류', '두류', '채소류', '난류', '유지류']","['소금', '고춧가루', '두부', '미더덕', '바지락', '멸치', '참기름', '달걀', '다시마', '새우', '양파']"
437,521782,"['박력분', '설탕', '계란', '버터', '생크림', '오렌지']","['당류', '곡류 및 그 제품', '과실류', '우유 및 유제품류', '난류', '유지류']","['밀', '설탕', '크림', '버터', '달걀', '오렌지']"
438,591830,"['벌꿀', '우유', '박력분', '설탕', '계란', '버터', '생크림']","['당류', '곡류 및 그 제품', '우유 및 유제품류', '난류', '유지류']","['우유', '밀', '설탕', '크림', '버터', '달걀', '꿀']"
439,617899,"['옥수수전분', '레몬껍질', '설탕', '다이제쿠키', '크림치즈', '계란', '버터', '생크림']","['당류', '곡류 및 그 제품', '과실류', '우유 및 유제품류', '감자 및 전분류', '난류', '유지류']","['전분', '과자', '설탕', '치즈', '크림', '버터', '달걀', '레몬']"
440,675044,"['우유', '박력분', '설탕', '슈가파우더', '계란', '버터', '쌀']","['당류', '곡류 및 그 제품', '우유 및 유제품류', '난류', '유지류']","['우유', '밀', '설탕', '버터', '달걀', '멥쌀']"
441,696937,"['양파', '크림치즈', '계란', '슬라이스햄', '체다치즈', '식빵']","['곡류 및 그 제품', '육류', '우유 및 유제품류', '채소류', '난류']","['빵', '치즈', '햄', '달걀', '양파']"
